,score,randomforest-100-accuracy (mean),randomforest-100-accuracy (std),randomforest-100-f1-score macro (mean),randomforest-100-f1-score macro (std),randomforest-100-f1-score weighted (mean),randomforest-100-f1-score weighted (std),KNN-5-accuracy (mean),KNN-5-accuracy (std),KNN-5-f1-score macro (mean),KNN-5-f1-score macro (std),KNN-5-f1-score weighted (mean),KNN-5-f1-score weighted (std),SVM-rbf-C1.0-accuracy (mean),SVM-rbf-C1.0-accuracy (std),SVM-rbf-C1.0-f1-score macro (mean),SVM-rbf-C1.0-f1-score macro (std),SVM-rbf-C1.0-f1-score weighted (mean),SVM-rbf-C1.0-f1-score weighted (std),timestamp,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name,config/temperature,config/latent_dim,config/transform_funcs,logdir,num_params,num_trainable_params,error_type,error_message,error_traceback
0,0.815593220338983,0.815593220338983,0.006577494207434651,0.8159339120623132,0.006509763632130977,0.8159339120623132,0.006509763632130966,0.7584745762711864,0.0,0.7602413086448856,0.0,0.7602413086448857,0.0,0.7016949152542373,0.0,0.6536139458164671,0.0,0.6536139458164673,0.0,1699832439,False,1,8d699eab,2023-11-12_23-40-39,285.5986530780792,285.5986530780792,198799,59d6454cd9f4,172.17.0.2,285.5986530780792,1,,1.3,166,"(1, 7, 8, 9)",8d699eab,,,,,
1,0.7834745762711864,0.7834745762711864,0.003519755874117823,0.7840132649548442,0.0034403856975320692,0.7840132649548442,0.003440385697532091,0.7652542372881356,0.0,0.7663538936910136,0.0,0.7663538936910137,0.0,0.7076271186440678,0.0,0.6783282605438291,0.0,0.6783282605438292,0.0,1699832512,False,1,425a5d0b,2023-11-12_23-41-52,349.7870409488678,349.7870409488678,202004,59d6454cd9f4,172.17.0.2,349.7870409488678,1,,1.0,217,"(1, 3, 7, 10)",425a5d0b,,,,,
2,0.7055084745762711,0.7055084745762711,0.008751820921046682,0.7095277394152515,0.008569751581933226,0.7095277394152515,0.00856975158193324,0.6228813559322034,0.0,0.6304311901333055,0.0,0.6304311901333054,0.0,0.6838983050847458,0.0,0.6729127381392198,0.0,0.6729127381392198,0.0,1699832455,True,1,d8e532a0,2023-11-12_23-40-55,283.70909237861633,283.70909237861633,202397,59d6454cd9f4,172.17.0.2,283.70909237861633,1,,1.0,335,"(0, 2, 4, 10)",d8e532a0,,,,,
3,0.7405932203389829,0.7405932203389829,0.005161149145283093,0.7458554120311128,0.005124292002635404,0.7458554120311128,0.005124292002635457,0.6847457627118644,0.0,0.691295047876029,0.0,0.6912950478760291,0.0,0.638135593220339,0.0,0.6022580920993327,0.0,0.6022580920993327,0.0,1699832470,True,1,7367afbb,2023-11-12_23-41-10,287.4628174304962,287.4628174304962,202787,59d6454cd9f4,172.17.0.2,287.4628174304962,1,,0.6000000000000001,348,"(2, 8, 9, 11)",7367afbb,,,,,
4,0.7054237288135593,0.7054237288135593,0.008568965871026811,0.7130141617980771,0.008218648826083322,0.7130141617980771,0.008218648826083327,0.6322033898305085,0.0,0.641088812921185,0.0,0.6410888129211849,0.0,0.6711864406779661,0.0,0.6684980743900873,0.0,0.6684980743900873,0.0,1699832391,False,1,ef159e92,2023-11-12_23-39-51,198.47160053253174,198.47160053253174,203176,59d6454cd9f4,172.17.0.2,198.47160053253174,1,,1.2000000000000002,114,"(2, 3, 6)",ef159e92,,,,,
5,0.8078813559322034,0.8078813559322034,0.006040774029558213,0.8081673969471659,0.00602367687853912,0.8081673969471659,0.006023676878539109,0.7076271186440678,0.0,0.7092560326172525,0.0,0.7092560326172525,0.0,0.7228813559322034,0.0,0.695595686038138,0.0,0.695595686038138,0.0,1699832661,False,1,1c546367,2023-11-12_23-44-21,270.4609730243683,270.4609730243683,203176,59d6454cd9f4,172.17.0.2,270.4609730243683,1,,0.8,169,"(1, 9, 10)",1c546367,,,,,
6,0.7194915254237289,0.7194915254237289,0.00704970655697811,0.7238596173572772,0.006886412399179064,0.7238596173572772,0.0068864123991790845,0.6694915254237288,0.0,0.6741727465381903,0.0,0.6741727465381904,0.0,0.638135593220339,0.0,0.5907768941150038,0.0,0.5907768941150039,0.0,1699832613,True,1,9f602735,2023-11-12_23-43-33,173.8525674343109,173.8525674343109,198799,59d6454cd9f4,172.17.0.2,173.8525674343109,1,,1.2000000000000002,175,"(2, 3, 8, 9)",9f602735,,,,,
7,0.6432203389830509,0.635,0.005197202747953215,0.639521030481571,0.0051296909072787635,0.639521030481571,0.005129690907278749,0.6177966101694915,0.0,0.6263809989527935,0.0,0.6263809989527935,0.0,0.6432203389830509,0.0,0.6186641988786138,0.0,0.6186641988786139,0.0,1699832677,True,1,b6befe7c,2023-11-12_23-44-37,221.70456552505493,221.70456552505493,202397,59d6454cd9f4,172.17.0.2,221.70456552505493,1,,1.3,122,"(0, 2, 3, 8)",b6befe7c,,,,,
8,0.6713559322033898,0.6713559322033898,0.004760871832267156,0.6785824074463783,0.004553808556062222,0.6785824074463783,0.0045538085560622435,0.635593220338983,0.0,0.644178370307005,0.0,0.644178370307005,0.0,0.6152542372881356,0.0,0.5964704035658961,0.0,0.5964704035658962,0.0,1699832775,True,1,03928743,2023-11-12_23-46-15,305.54835963249207,305.54835963249207,202787,59d6454cd9f4,172.17.0.2,305.54835963249207,1,,1.0,256,"(0, 3, 4, 11)",03928743,,,,,
9,0.6640677966101696,0.6640677966101696,0.007731860832513263,0.6708270717849286,0.007305847620297703,0.6708270717849286,0.00730584762029773,0.6542372881355932,0.0,0.6597289746783008,0.0,0.6597289746783008,0.0,0.6110169491525423,0.0,0.5638813731909325,0.0,0.5638813731909325,0.0,1699832860,True,1,4fa0f1fa,2023-11-12_23-47-40,347.9161162376404,347.9161162376404,202004,59d6454cd9f4,172.17.0.2,347.9161162376404,1,,1.2000000000000002,339,"(0, 5, 8, 10)",4fa0f1fa,,,,,
